,T[ºC],n,lambda_Na[uS/cm.molal],CMC[molal],cmc_pendiente1[uS/(cm.molal)],cmc_ordenada1[molal],cmc_pendiente2[uS/(cm.molal)],cmc_ordenada2[molal],alfa,delta_Go[kJ/mol],dalfa_dT[1/K],dH[KJ/mol],dS[KJ/K.mol]
0,26.5,"(61.062068662541265, 2)","(52.317499999999995, 0.0227)","(0.005935494910304281, 0.0009367464701918804)","(77725.65977653631, 1211.6464798414934)","(2.081564245810071, 3.6061708366864162)","(29428.759029126202, 1397.8061543454075)","(288.7475728155338, 26.147387630761145)","(0.15629045820080936, 0.006637225752512332)","(-23.538040346591426, 0.8108909650191257)","(0.00048613673351267266, 5.0806534012079796e-05)","(-3.5955417319193823, 217.27107747669083)","(0.06658597200224389, 0.7281579304212021)"
1,35.5,"(56.23454523951139, 2)","(62.5325, 0.0227)","(0.005954599033900494, 0.0009788167912320395)","(94697.54775418996, 892.333634705891)","(0.20972067039109277, 2.6558138727822143)","(36937.838252427166, 1969.4101655101008)","(344.145631067961, 36.83982277619112)","(0.16304799664710973, 0.0070485022563286995)","(-24.14135550005524, 0.8687230924214789)","(0.00048613673351267266, 5.0806534012079796e-05)","(-5.303753799468637, 239.22399471066203)","(0.061061917992177, 0.7782623631813399)"
2,45.25,"(52.07722740077847, 2)","(73.59875, 0.0227)","(0.0061894484059682705, 0.0010100764028252792)","(114766.37916201119, 996.945570187625)","(-1.8941340782122609, 2.9671658365603797)","(44987.27999999998, 2464.0836408701516)","(429.99999999999983, 46.09319390400118)","(0.16768773419529034, 0.007468068319671115)","(-24.6538811253386, 0.8932656368473795)","(0.00048613673351267266, 5.0806534012079796e-05)","(-7.191022188603606, 252.11598040396422)","(0.054871512762717976, 0.7950050069790003)"
3,52.0,"(49.68127462339884, 2)","(81.26, 0.0227)","(0.006373560553123523, 0.0012376628842997808)","(130893.104301676, 1952.6454854900994)","(-7.520111731843571, 5.811574020404828)","(50939.66718446598, 3217.698491262467)","(502.06796116504825, 60.19032715545251)","(0.16972590772585847, 0.008905070613489932)","(-25.0038063408156, 1.0835968989053792)","(0.00048613673351267266, 5.0806534012079796e-05)","(-8.528935415972931, 312.47180374272153)","(0.05069191053797744, 0.9647889676302697)"
4,60.0,"(47.23174636033781, 2)","(90.33999999999999, 0.0227)","(0.006524167528185063, 0.0012850804155152466)","(150478.77837988827, 3449.846649179634)","(-14.208659217877099, 10.2676288705427)","(58644.73281553394, 3378.4581432619607)","(584.9320388349511, 63.197500162345946)","(0.17273147927809349, 0.009394779497525383)","(-25.459056325104587, 1.1289450528921674)","(0.00048613673351267266, 5.0806534012079796e-05)","(-10.148957679919054, 332.20695051023216)","(0.04597627220776437, 1.001011456722428)"
